rank,ticker,sector,value_rank_score,score_value,score_safety,score_profit,penalty,total_score,debt_free_flag,net_cash_flag,net_cash_status,is_high_growth,debt_to_equity_ratio,market_cap,cap_size,dividend_yield,eps,bps,revenue,revenue_growth_rate,operating_income,operating_margin,net_income,gross_profit,cost_of_revenue,sga,ordinary_income,pretax_income,tax_provision,roe,pbr,per,equity_ratio,roic,roic_using_total_assets,invested_capital,total_assets,total_liabilities,equity,total_debt,cash,beginning_cash_balance,operating_cash_flow,investing_cash_flow,financing_cash_flow,end_cash_value,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,score_growth
1,1662,エネルギー資源,50.0,10.0,10.0,30.0,0.0,88.80096850516935,True,True,実質無借金,False,0.0,4829.92750592,大型,212.0,339.09,2113.315,389082000000.0,19.400484252584675,62013000000.0,15.94,81153000000.0,99157000000.0,289924000000.0,3172000000.0,108614000000.0,108614000000.0,25766000000.0,15.946001,0.89291,5.564894,77.42716381210039,8.225439703491478,False,527742000000.0,681598000000.0,124344000000.0,527742000000.0,0.0,118358000000.0,,130766000000.0,-107076000000.0,-38671000000.0,,False,[],325863000000.0,,,38.80096850516935
2,2220,食品,50.0,10.0,10.0,30.0,0.0,66.17853329704607,False,False,,False,0.32700117735769185,809.59143936,中型,151.0,1276.42,4477.613,103262000000.0,8.089266648523038,5500000000.0,5.33,5417000000.0,28064000000.0,75197000000.0,,6079000000.0,6079000000.0,197000000.0,31.796999999999997,0.85759985,3.008414,61.03001727729247,3.838025360874073,False,100312000000.0,123862000000.0,44955000000.0,75593000000.0,24719000000.0,10098000000.0,,9442000000.0,-7830000000.0,-1215000000.0,,False,[],95534000000.0,,,16.178533297046076
3,5280,不動産,50.0,10.0,10.0,30.0,0.0,79.78478747066995,False,False,,False,0.2873692329401502,212.47326208,小型,265.0,583.1,4006.312,27474927000.0,14.892393735334977,4678515000.0,17.03,3017703000.0,7863044000.0,19611882000.0,,4715479000.0,4715479000.0,1665236000.0,15.543999999999999,0.75256246,5.17064,61.92321693440355,9.270958946906008,False,35324938000.0,44312349000.0,16627534000.0,27439632000.0,7885306000.0,3514675000.0,,2796668000.0,-833577000.0,-184031000.0,,False,[],23913617000.0,,,29.784787470669954
4,3608,素材・化学,50.0,10.0,10.0,30.0,0.0,51.57417478102495,False,True,実質無借金,False,0.015337423312883436,630.63195648,中型,369.0,240.32,1651.959,156606000000.0,0.7870873905124757,1636000000.0,1.04,15230000000.0,83995000000.0,72610000000.0,,23860000000.0,23860000000.0,8652000000.0,19.277,0.6555853,4.506491,76.44287647263015,1.0452624565310649,False,109561000000.0,141159000000.0,32928000000.0,107906000000.0,1655000000.0,46325000000.0,,5717000000.0,28328000000.0,-15135000000.0,,False,[],155383000000.0,,,1.5741747810249513
5,2112,食品,50.0,10.0,10.0,30.0,0.0,56.14263074484945,False,False,,False,0.49629941633070584,161.00704256,小型,256.0,94.59,661.384,32519000000.0,3.071315372424723,2881000000.0,8.86,2136000000.0,6188000000.0,26331000000.0,,3093000000.0,3093000000.0,956000000.0,15.939,0.8845089,6.1845865,56.51759904778098,8.109944906904733,False,24867000000.0,29405000000.0,12786000000.0,16619000000.0,8248000000.0,3313000000.0,,3701000000.0,-520000000.0,-2171000000.0,,False,[],31550000000.0,,,6.142630744849446
6,5445,鉄鋼・非鉄,50.0,10.0,10.0,30.0,0.0,57.47579034628283,False,True,実質無借金,False,0.08507037533512064,554.28902912,中型,457.0,1193.11,7165.995,82593000000.0,3.7378951731414145,14679000000.0,17.77,10853000000.0,23376000000.0,59216000000.0,2301000000.0,15233000000.0,15233000000.0,4396000000.0,17.702,0.9168301,5.506617,73.45501987765702,15.867473786617664,False,64757000000.0,81247000000.0,21536000000.0,59680000000.0,5077000000.0,14171000000.0,,8183000000.0,-5596000000.0,-4762000000.0,,False,[],79617000000.0,,,7.475790346282829
7,3768,情報通信・サービスその他,50.0,10.0,10.0,30.0,0.0,53.36938787644396,False,True,実質無借金,False,0.0620377850233685,44.50250752,小型,264.0,171.23,795.282,3728251000.0,1.6846939382219797,263992000.0,7.08,-49599000.0,1701291000.0,2026959000.0,,-9912000.0,-9912000.0,20906000.0,22.97,0.7393604,3.4339778,82.46527442192205,2.9554553954208886,False,6252654000.0,7139262000.0,1157090000.0,5887412000.0,365242000.0,1225736000.0,,226009000.0,-1020855000.0,199668000.0,,False,[],3666482000.0,,,3.3693878764439593
8,3020,小売,50.0,10.0,10.0,30.0,0.0,70.873911114225,False,True,実質無借金,False,0.03369932432432433,115.41147648,小型,234.0,788.24,4694.313,47288000000.0,10.436955557112498,2670000000.0,5.65,1767000000.0,10064000000.0,37223000000.0,2670000000.0,2686000000.0,2686000000.0,905000000.0,18.041999999999998,0.9096113,5.417132,58.67486000297338,15.270855462047553,False,12239000000.0,20179000000.0,8228000000.0,11840000000.0,399000000.0,5971000000.0,,2945000000.0,-604000000.0,-498000000.0,,False,[],42819000000.0,,,20.873911114224995
9,2491,情報通信・サービスその他,49.815352000000004,9.815352,10.0,30.0,0.0,56.71424980922575,True,True,実質無借金,False,0.0,145.0146304,小型,732.0,147.78,645.174,30410000000.0,3.449448904612872,4160000000.0,13.68,2855000000.0,9983000000.0,20427000000.0,,4114000000.0,4114000000.0,1258000000.0,23.014000000000003,1.0369296,4.5269995,65.63393221723153,22.645617855198694,False,12859000000.0,19592000000.0,6733000000.0,12859000000.0,0.0,11775000000.0,,3461000000.0,-708000000.0,-12511000000.0,,False,[],29396000000.0,,,6.898897809225744
10,2432,情報通信・サービスその他,49.79304,9.79304,10.0,30.0,0.0,89.67222059283422,False,True,実質無借金,False,0.20024489728379127,2856.78534656,中型,129.0,396.16,2460.649,163997000000.0,19.939590296417105,28973000000.0,17.67,24193000000.0,92643000000.0,71354000000.0,5670000000.0,31817000000.0,31817000000.0,8851000000.0,17.24,1.041392,6.468346,61.32454564826936,6.990108223616185,False,290140000000.0,394188000000.0,141312000000.0,241734000000.0,48406000000.0,92803000000.0,,38999000000.0,-12280000000.0,-5445000000.0,,False,[],136733000000.0,,,39.87918059283421
11,6658,電機・精密,49.123830999999996,9.123831,10.0,30.0,0.0,52.619825173343045,False,False,,False,0.2910244786944696,113.07303936,小型,467.0,121.65,644.978,29337000000.0,1.7479970866715222,2576000000.0,8.78,2075000000.0,5942000000.0,23394000000.0,,2547000000.0,2547000000.0,448000000.0,19.844,1.1752338,6.2309904,51.028066207463766,14.069912609238452,False,12816000000.0,19454000000.0,9401000000.0,9927000000.0,2889000000.0,907000000.0,,2611000000.0,-163000000.0,-3244000000.0,,False,[],28833000000.0,,,3.4959941733430444
